                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.22801,                0.23117,                0.18935,                 0.8772,                0.99784,                      1,                  0.995,                  0.995,                0.99784,                      1,                  0.995,                  0.995,                0.10741,                0.10673,                0.14086,                0.75214,               0.002377,               0.002377,               0.002377
                     79,                0.23132,                0.25045,                0.19142,                0.87589,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                0.10913,                0.11149,                0.10299,                0.75165,               0.002278,               0.002278,               0.002278
                     80,                 0.2259,                0.25564,                0.19433,                0.87215,                0.99782,                      1,                  0.995,                  0.995,                0.99782,                      1,                  0.995,                  0.995,                 0.0977,                0.10658,                0.09841,                 0.7485,               0.002179,               0.002179,               0.002179
                     81,                0.23049,                0.27449,                0.18923,                0.86832,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                0.10766,                0.11603,                0.15337,                0.75556,                0.00208,                0.00208,                0.00208
                     82,                 0.2131,                 0.2296,                0.17895,                0.87324,                0.99782,                      1,                  0.995,                  0.995,                0.99782,                      1,                  0.995,                  0.995,                0.12472,                0.11516,                0.11994,                0.75562,               0.001981,               0.001981,               0.001981
                     83,                0.22494,                0.24677,                0.18587,                0.88163,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                0.12157,                0.12075,                0.10961,                0.75633,               0.001882,               0.001882,               0.001882
                     84,                0.21842,                0.23947,                0.17863,                0.87806,                0.99782,                      1,                  0.995,                  0.995,                0.99782,                      1,                  0.995,                  0.995,                0.14133,                0.13198,                 0.1574,                0.76323,               0.001783,               0.001783,               0.001783
                     85,                0.21582,                0.25278,                0.17973,                0.87594,                0.99785,                      1,                  0.995,                  0.995,                0.99785,                      1,                  0.995,                  0.995,                0.14187,                0.11636,                0.11687,                0.76382,               0.001684,               0.001684,               0.001684
                     86,                0.21948,                0.25196,                0.18102,                0.86842,                0.99784,                      1,                  0.995,                  0.995,                0.99784,                      1,                  0.995,                  0.995,                0.13252,                0.10682,                0.14274,                0.76116,               0.001585,               0.001585,               0.001585
                     87,                0.21698,                0.24693,                 0.1774,                0.87501,                0.99781,                      1,                  0.995,                  0.995,                0.99781,                      1,                  0.995,                  0.995,                0.13418,                0.11738,                0.13228,                0.75872,               0.001486,               0.001486,               0.001486
                     88,                0.20264,                0.24783,                0.16871,                0.87177,                0.99786,                      1,                  0.995,                  0.995,                0.99786,                      1,                  0.995,                  0.995,                0.10769,                0.12241,                0.10106,                0.75198,               0.001387,               0.001387,               0.001387
                     89,                0.20095,                0.23934,                  0.175,                0.86396,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                 0.1165,                0.12305,                0.10715,                0.75574,               0.001288,               0.001288,               0.001288
                     90,                0.19552,                0.22102,                 0.1637,                0.86273,                0.99782,                      1,                  0.995,                  0.995,                0.99782,                      1,                  0.995,                  0.995,                0.11388,                0.11402,                0.10839,                0.75575,               0.001189,               0.001189,               0.001189
                     91,                0.20814,                0.25186,                0.16893,                0.86994,                 0.9978,                      1,                  0.995,                  0.995,                 0.9978,                      1,                  0.995,                  0.995,                0.10917,                  0.116,                0.09841,                0.75417,                0.00109,                0.00109,                0.00109
                     92,                0.19668,                0.22796,                0.16537,                0.86171,                0.99784,                      1,                  0.995,                  0.995,                0.99784,                      1,                  0.995,                  0.995,                0.10895,                0.11899,                0.09869,                0.75398,               0.000991,               0.000991,               0.000991
                     93,                0.21366,                0.26079,                0.17178,                0.86699,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                0.09867,                0.12347,                 0.1048,                0.75114,               0.000892,               0.000892,               0.000892
                     94,                0.19065,                0.22376,                0.15519,                0.86757,                0.99785,                      1,                  0.995,                  0.995,                0.99785,                      1,                  0.995,                  0.995,                0.11073,                 0.1278,                0.11651,                0.75354,               0.000793,               0.000793,               0.000793
                     95,                0.19104,                0.23723,                0.15989,                0.86799,                0.99782,                      1,                  0.995,                  0.995,                0.99782,                      1,                  0.995,                  0.995,                0.12566,                0.12224,                0.11039,                0.75659,               0.000694,               0.000694,               0.000694
                     96,                0.19505,                0.22344,                0.16531,                0.86212,                0.99783,                      1,                  0.995,                  0.995,                0.99783,                      1,                  0.995,                  0.995,                0.12065,                0.12094,                0.10243,                0.75548,               0.000595,               0.000595,               0.000595
                     97,                0.19793,                0.22419,                0.16362,                0.86323,                0.99784,                      1,                  0.995,                  0.995,                0.99784,                      1,                  0.995,                  0.995,                0.11458,                 0.1229,                0.09918,                0.75466,               0.000496,               0.000496,               0.000496
                     98,                0.18781,                0.23902,                0.15631,                0.86666,                0.99784,                      1,                  0.995,                  0.995,                0.99784,                      1,                  0.995,                  0.995,                0.10653,                0.11816,                0.09464,                0.75247,               0.000397,               0.000397,               0.000397
                     99,                0.20004,                 0.2589,                0.16061,                0.86602,                0.99781,                      1,                  0.995,                  0.995,                0.99781,                      1,                  0.995,                  0.995,                0.10022,                0.11527,                0.09037,                0.75091,               0.000298,               0.000298,               0.000298
